S-SM937;1;A;true;HK 2006;Pollo a la Naranja;Whiskey
S-UQ5JK;1;C;true;HK 2006;Pollo a la Naranja;Vino
S-M4SOF;1;D;true;HK 2006;Filete de pescado;Oporto
S-KT95L;1;F;true;HK 2006;Sin definir;Ninguno
S-4X9CR;2;A;true;HK 2006;Sin definir;Ninguno
S-5DTTV;2;C;true;HK 2006;Sin definir;Ninguno
S-RCSER;2;D;true;HK 2006;Sin definir;Ninguno
S-UZ2ZV;2;F;true;HK 2006;Sin definir;Ninguno
S-9290I;3;A;true;HK 2006
S-0X76B;3;B;true;HK 2006
S-KXVBP;3;C;true;HK 2006
S-NMDTJ;3;D;true;HK 2006
S-H17PB;3;E;true;HK 2006
S-KNAXZ;3;F;true;HK 2006
S-ERMCN;1;A;true;HK2005;Sin definir;Ninguno
S-TXXI1;1;C;true;HK2005;Sin definir;Ninguno
S-VGAFM;1;D;false;HK2005;Pollo a la Naranja;Ninguno
S-N5JMP;1;F;true;HK2005;Sin definir;Ninguno
S-45E05;2;A;true;HK2005;Sin definir;Ninguno
S-KTJIZ;2;C;true;HK2005;Sin definir;Ninguno
S-FB0G9;2;D;true;HK2005;Sin definir;Ninguno
S-0QI2D;2;F;true;HK2005;Sin definir;Ninguno
S-WCRPZ;3;A;true;HK2005;Sin definir;Ninguno
S-DCEVT;3;C;true;HK2005;Sin definir;Ninguno
S-NTBHQ;3;D;true;HK2005;Sin definir;Ninguno
S-2258N;3;F;true;HK2005;Sin definir;Ninguno
S-X0EO9;4;A;true;HK2005;Sin definir;Ninguno
S-YXTO8;4;C;true;HK2005;Sin definir;Ninguno
S-ZIAMZ;4;D;true;HK2005;Sin definir;Ninguno
S-VZ4MJ;4;F;true;HK2005;Sin definir;Ninguno
S-66B4Y;5;A;true;HK2005;Sin definir;Ninguno
S-G2CF9;5;C;true;HK2005;Sin definir;Ninguno
S-XU1DI;5;D;true;HK2005;Sin definir;Ninguno
S-ZAYBL;5;F;true;HK2005;Sin definir;Ninguno
S-WLGMR;6;A;true;HK2005;Sin definir;Ninguno
S-D4QLC;6;C;true;HK2005;Sin definir;Ninguno
S-A4RTJ;6;D;true;HK2005;Sin definir;Ninguno
S-00HGT;6;F;true;HK2005;Sin definir;Ninguno
S-S4IVY;7;A;true;HK2005
S-RQD2D;7;B;true;HK2005
S-W36NT;7;C;true;HK2005
S-HKVZZ;7;D;true;HK2005
S-UHHT5;7;E;true;HK2005
S-4X2O1;7;F;true;HK2005
S-3YQ6J;8;A;true;HK2005
S-7T01V;8;B;true;HK2005
S-XKVKK;8;C;true;HK2005
S-AB6ZW;8;D;true;HK2005
S-ACJNK;8;E;true;HK2005
S-VASTN;8;F;true;HK2005
S-7UN3A;9;A;true;HK2005
S-175UE;9;B;true;HK2005
S-TK5IL;9;C;true;HK2005
S-GJC3L;9;D;true;HK2005
S-SRROI;9;E;true;HK2005
S-2W2X3;9;F;true;HK2005
S-ZA6Z5;10;A;true;HK2005
S-9P8T2;10;B;true;HK2005
S-605TM;10;C;true;HK2005
S-XEQ1U;10;D;true;HK2005
S-ROCZ7;10;E;true;HK2005
S-08LL9;10;F;true;HK2005
S-P0XKH;11;A;true;HK2005
S-X1XET;11;B;true;HK2005
S-SO2YG;11;C;true;HK2005
S-27310;11;D;true;HK2005
S-KRR6O;11;E;true;HK2005
S-92OJ4;11;F;true;HK2005
S-G02BQ;12;A;true;HK2005
S-UXEPL;12;B;true;HK2005
S-GSZ27;12;C;true;HK2005
S-40U1I;12;D;true;HK2005
S-Q9U8N;12;E;true;HK2005
S-7RRTD;12;F;true;HK2005
S-S4ZBK;13;A;true;HK2005
S-BJ9WC;13;B;true;HK2005
S-SEF5U;13;C;true;HK2005
S-KP647;13;D;true;HK2005
S-OXCA4;13;E;true;HK2005
S-766CG;13;F;true;HK2005
S-WWX0D;14;A;true;HK2005
S-JG230;14;B;true;HK2005
S-B4Y7G;14;C;true;HK2005
S-329LN;14;D;true;HK2005
S-04V84;14;E;true;HK2005
S-EG4YU;14;F;true;HK2005
S-QTZYB;15;A;true;HK2005
S-4JH1K;15;B;true;HK2005
S-OI2PY;15;C;true;HK2005
S-2TYJV;15;D;true;HK2005
S-MNPGK;15;E;true;HK2005
S-XXCZW;15;F;true;HK2005
S-HSAB2;16;A;true;HK2005
S-TWZBJ;1;A;true;HK2023;Sin definir;Ninguno
S-FMKBF;1;C;true;HK2023;Sin definir;Ninguno
S-KB0DK;1;F;true;HK2023;Sin definir;Ninguno
S-5K6YA;2;A;true;HK2023;Sin definir;Ninguno
S-3YUZ1;2;C;true;HK2023;Sin definir;Ninguno
S-8IJKN;2;D;true;HK2023;Sin definir;Ninguno
S-1BCZT;2;F;true;HK2023;Sin definir;Ninguno
S-LDF5M;3;A;true;HK2023;Sin definir;Ninguno
S-LPLCR;3;C;true;HK2023;Sin definir;Ninguno
S-CCN7P;3;D;true;HK2023;Sin definir;Ninguno
S-G10HF;3;F;true;HK2023;Sin definir;Ninguno
S-KFSUG;4;A;true;HK2023;Sin definir;Ninguno
S-0ZKDD;4;C;true;HK2023;Sin definir;Ninguno
S-E3BI3;4;D;true;HK2023;Sin definir;Ninguno
S-RQXF7;4;F;true;HK2023;Sin definir;Ninguno
S-WPYHP;5;A;true;HK2023
S-92DHB;5;B;true;HK2023
S-4Q3VU;5;C;true;HK2023
S-11ZDW;5;D;true;HK2023
S-TNA03;5;E;true;HK2023
S-O530Z;5;F;true;HK2023
S-BL609;6;A;true;HK2023
S-7TDZI;6;B;true;HK2023
S-QDKCD;6;C;true;HK2023
S-DKVJD;6;D;true;HK2023
S-GBZYA;6;E;true;HK2023
S-QXK49;6;F;true;HK2023
S-X0Y8E;7;A;true;HK2023
S-0QNJE;7;B;true;HK2023
S-WID92;7;C;true;HK2023
S-TTH89;7;D;true;HK2023
S-SZIQW;7;E;true;HK2023
S-O9UOP;7;F;true;HK2023
S-2VY4S;8;A;true;HK2023
S-0ECQV;8;B;true;HK2023
S-DGM4W;8;C;true;HK2023
S-R7BIX;8;D;true;HK2023
S-S4FMB;8;E;true;HK2023
S-DKBO6;8;F;true;HK2023
S-Y7XWN;9;A;true;HK2023
S-ODJU0;9;B;true;HK2023
S-HIQI4;9;C;true;HK2023
S-DXEUY;9;D;true;HK2023
S-S1LZU;9;E;true;HK2023
S-US09F;1;A;true;KVJ 71;Sin definir;Ninguno
S-S9FZ6;1;C;true;KVJ 71;Sin definir;Ninguno
S-RP44B;1;D;true;KVJ 71;Sin definir;Ninguno
S-4ZOMZ;1;F;true;KVJ 71;Sin definir;Ninguno
S-3WA2B;2;A;true;KVJ 71;Sin definir;Ninguno
S-E63LQ;2;C;true;KVJ 71;Sin definir;Ninguno
S-3RPXJ;2;D;true;KVJ 71;Sin definir;Ninguno
S-3K82M;2;F;true;KVJ 71;Sin definir;Ninguno
S-K89YY;3;A;true;KVJ 71
S-54A8B;3;B;true;KVJ 71
S-8ZZ70;3;C;true;KVJ 71
S-AEJJH;3;D;true;KVJ 71
S-PKH0A;3;E;true;KVJ 71
S-8IRFD;3;F;true;KVJ 71
S-9RA3I;4;A;true;KVJ 71
S-60FPN;4;B;true;KVJ 71
S-8I840;4;C;true;KVJ 71
S-LUUAV;4;D;true;KVJ 71
S-YCVLG;4;E;true;KVJ 71
S-8FTRT;4;F;true;KVJ 71
S-78LML;5;A;true;KVJ 71
S-A6EZ7;5;B;true;KVJ 71
S-IF5F5;5;C;true;KVJ 71
S-U3XSC;5;D;true;KVJ 71
S-SFO07;5;E;true;KVJ 71
S-6FK2H;5;F;true;KVJ 71
S-WOBT4;1;A;true;KVJ 70;Sin definir;Ninguno
S-231VE;1;C;true;KVJ 70;Sin definir;Ninguno
S-MQD1L;1;D;true;KVJ 70;Sin definir;Ninguno
S-1MUB7;1;F;true;KVJ 70;Sin definir;Ninguno
S-WQ28I;2;A;true;KVJ 70;Sin definir;Ninguno
S-2OA2T;2;C;true;KVJ 70;Sin definir;Ninguno
S-HBW5A;2;D;true;KVJ 70;Sin definir;Ninguno
S-5D709;2;F;true;KVJ 70;Sin definir;Ninguno
S-GQ3TG;3;A;true;KVJ 70
S-EB0JV;3;B;true;KVJ 70
S-TNXIH;3;C;true;KVJ 70
S-UU50U;3;D;true;KVJ 70
S-34KMH;3;E;true;KVJ 70
S-OR8CN;3;F;true;KVJ 70
